category	fileName	N	Degree	maxDegree	mu	on	om	minC	maxC	NMIMAX	LFKNMI	NMISUM
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	100	0.382323	0.4046	0.423952
[HOON-14-TEMP-3	network_spliter_100_algo_spinglass_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	100	0.131189	0.136766	0.153658
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	100	0.200848	0.336425	0.232003
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	200	0.596836	0.577329	0.636308
[HOON-14-TEMP-3	network_spliter_100_algo_spinglass_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	200	0.370781	0.344065	0.414206
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	200	0.41655	0.455238	0.458674
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	50	0.0783207	0.116963	0.0909966
[HOON-14-TEMP-3	network_spliter_100_algo_leadingeigen_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	50	0.0806011	0.196279	0.0862451
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	10	50	0.067562	0.165346	0.0817075
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	100	0.45373	0.507291	0.495551
[HOON-14-TEMP-3	network_spliter_100_algo_leadingeigen_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	100	0.0644393	0.177232	0.0775541
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	100	0.173648	0.319514	0.201021
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	200	0.559938	0.549322	0.596993
[HOON-14-TEMP-3	network_spliter_100_algo_leadingeigen_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	200	0.105994	0.18522	0.118723
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	200	0.357838	0.416175	0.401324
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	50	0.100173	0.159813	0.11562
[HOON-14-TEMP-3	network_spliter_100_algo_leadingeigen_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	50	0.0318547	0.0734586	0.0370719
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	20	50	0.062307	0.169724	0.0752967
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	100	0.488487	0.558688	0.53121
[HOON-14-TEMP-3	network_spliter_100_algo_leadingeigen_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	100	0.1167	0.232362	0.150313
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	100	0.268539	0.41169	0.303
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	200	0.679562	0.687485	0.712644
[HOON-14-TEMP-3	network_spliter_100_algo_leadingeigen_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	200	0.0534337	0.0553815	0.0747023
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	200	0.399312	0.442424	0.443123
[HOON-14-TEMP-3	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	50	0.122382	0.193075	0.139456
[HOON-14-TEMP-3	network_spliter_100_algo_leadingeigen_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	50	0.122711	0.210023	0.132087
[HOON-14-TEMP-3	network_spliter_100_algo_fastgreedy_final_bf_0.6_pruning_0.6	5000	10	100	0.1	500	2	30	50	0.0815488	0.194593	0.0975713
