settingName	fileName	NMIMAX	LFKNMI	NMISUM
special2	network_spliter_100_algo_louvain_final_bf_0.85_pruning_0.25	0.618348	0.598317	0.659888
special2	network_spliter_100_algo_louvain_final_bf_0.3_pruning_0.65	0.65169	0.616533	0.688035
special2	network_spliter_100_algo_louvain_final_bf_0.65_pruning_0.55	0.634044	0.607242	0.673207
special2	network_spliter_100_algo_louvain_final_bf_0.1_pruning_0.85	0.649257	0.611767	0.683191
special2	network_spliter_100_algo_louvain_final_bf_0.25_pruning_0.25	0.651044	0.61488	0.686361
special2	network_spliter_100_algo_louvain_final_bf_0.3_pruning_0.15	0.651641	0.616363	0.687877
special2	network_spliter_100_algo_louvain_final_bf_0.35_pruning_0.45	0.650409	0.61647	0.687253
special2	network_spliter_100_algo_louvain_final_bf_0.45_pruning_0.45	0.647249	0.615353	0.684743
special2	network_spliter_100_algo_louvain_final_bf_0.5_pruning_0.7	0.642641	0.611715	0.680368
special2	network_spliter_100_algo_louvain_final_bf_0.7_pruning_0.65	0.629669	0.60455	0.669376
special2	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.25	0.637082	0.608794	0.675752
special2	network_spliter_100_algo_louvain_final_bf_0.75_pruning_0.35	0.625113	0.602264	0.665498
special2	network_spliter_100_algo_louvain_final_bf_0.65_pruning_0.8	0.634009	0.607181	0.673175
special2	network_spliter_100_algo_louvain_final_bf_0.65_pruning_0.4	0.634009	0.607181	0.673175
special2	network_spliter_100_algo_louvain_final_bf_0.15_pruning_0.3	0.63614	0.589148	0.661096
special2	network_spliter_100_algo_louvain_final_bf_0.7_pruning_0.9	0.629654	0.604757	0.669352
special2	network_spliter_100_algo_louvain_final_bf_0.3_pruning_0.0	0.651666	0.61651	0.68797
special2	network_spliter_100_algo_louvain_final_bf_1.0_pruning_0.95	0.606421	0.589848	0.650272
special2	network_spliter_100_algo_louvain_final_bf_0.0_pruning_1.0	0.611212	0.580075	0.644987
special2	network_spliter_100_algo_louvain_final_bf_0.4_pruning_0.5	0.648576	0.615842	0.685855
special2	network_spliter_100_algo_louvain_final_bf_0.75_pruning_0.5	0.625113	0.602264	0.665498
special2	network_spliter_100_algo_louvain_final_bf_0.9_pruning_0.15	0.615263	0.596276	0.657219
special2	network_spliter_100_algo_louvain_final_bf_0.4_pruning_0.1	0.648576	0.615842	0.685855
special2	network_spliter_100_algo_louvain_final_bf_0.45_pruning_0.0	0.647249	0.615353	0.684743
special2	network_spliter_100_algo_louvain_final_bf_0.6_pruning_1.0	0.617726	0.595897	0.659669
special2	network_spliter_100_algo_louvain_final_bf_0.1_pruning_0.7	0.648051	0.609394	0.680885
special2	network_spliter_100_algo_louvain_final_bf_0.3_pruning_0.6	0.65169	0.616533	0.688035
special2	network_spliter_100_algo_louvain_final_bf_1.0_pruning_0.3	0.606421	0.589848	0.650272
special2	network_spliter_100_algo_louvain_final_bf_0.05_pruning_0.65	0.368828	0.378786	0.412553
special2	network_spliter_100_algo_louvain_final_bf_0.4_pruning_0.8	0.648426	0.61577	0.685719
special2	network_spliter_100_algo_louvain_final_bf_0.7_pruning_0.0	0.629669	0.60455	0.669376
special2	network_spliter_100_algo_louvain_final_bf_0.95_pruning_1.0	0.606815	0.59001	0.650524
special2	network_spliter_100_algo_louvain_final_bf_0.85_pruning_0.6	0.618348	0.598317	0.659888
special2	network_spliter_100_algo_louvain_final_bf_0.9_pruning_0.8	0.615263	0.596276	0.657219
special2	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.05	0.637082	0.608794	0.675752
special2	network_spliter_100_algo_louvain_final_bf_0.8_pruning_0.15	0.621825	0.600176	0.662787
special2	network_spliter_100_algo_louvain_final_bf_0.6_pruning_0.45	0.636959	0.608744	0.675644
special2	network_spliter_100_algo_louvain_final_bf_0.25_pruning_0.6	0.651205	0.615361	0.686905
special2	network_spliter_100_algo_louvain_final_bf_0.85_pruning_0.7	0.618348	0.598317	0.659888
special2	network_spliter_100_algo_louvain_final_bf_0.1_pruning_0.45	0.496922	0.475639	0.521032
special2	network_spliter_100_algo_louvain_final_bf_0.9_pruning_0.75	0.615263	0.596276	0.657219
special2	network_spliter_100_algo_louvain_final_bf_0.3_pruning_0.5	0.651659	0.616444	0.687927
special2	network_spliter_100_algo_louvain_final_bf_0.2_pruning_1.0	0.621628	0.596991	0.662649
special2	network_spliter_100_algo_louvain_final_bf_0.5_pruning_0.85	0.642927	0.612056	0.680617
special2	network_spliter_100_algo_louvain_final_bf_1.0_pruning_0.85	0.606421	0.589848	0.650272
special2	network_spliter_100_algo_louvain_final_bf_0.7_pruning_0.3	0.629493	0.604467	0.669211
special2	network_spliter_100_algo_louvain_final_bf_0.4_pruning_0.3	0.648576	0.615842	0.685855
